"Dmitriy Fishman" pushed new code on "Thu, 2 Dec 2021 14:00:01 +0200" with title: "Fix a typo in EDITING.md (#2724)" and stats:	 1 file changed, 2 insertions(+), 2 deletions(-)	
"Dmitriy Fishman" pushed new code on "Wed, 1 Dec 2021 10:50:32 +0200" with title: "Fix a typo in BASICS.md (#2716)" and stats:	 1 file changed, 1 insertion(+), 1 deletion(-)	
"orosmatthew" pushed new code on "Mon, 29 Nov 2021 11:12:53 -0500" with title: "fix: unable to un-indent a list item (#2640)" and stats:	 1 file changed, 1 insertion(+), 1 deletion(-)	
"Sebastian Frysztak" pushed new code on "Mon, 29 Nov 2021 17:03:05 +0100" with title: "chore(electron): bump to Electron 13 (#2670)" and stats:	 2 files changed, 350 insertions(+), 158 deletions(-)	
"Nikolai" pushed new code on "Mon, 29 Nov 2021 16:14:14 +0100" with title: "docs: Update "What is Aidou" in FAQ.md (#2693)" and stats:	 1 file changed, 1 insertion(+), 1 deletion(-)	
"Ivan Boothe" pushed new code on "Tue, 24 Aug 2021 01:52:10 -0700" with title: "Add link pointing 'download the AppImage' to the latest release (#2628)" and stats:	 1 file changed, 1 insertion(+), 1 deletion(-)	
"danila-io" pushed new code on "Sun, 4 Jul 2021 14:02:12 +0400" with title: "Fix a typo (Paragraphs instead of Paragraph) in the counter tooltip (#2614)" and stats:	 1 file changed, 1 insertion(+), 1 deletion(-)	
"Michelle S" pushed new code on "Tue, 8 Jun 2021 21:20:21 -0600" with title: "Fix typo (#2583)" and stats:	 1 file changed, 1 insertion(+), 1 deletion(-)	
"Felix Häusler" pushed new code on "Wed, 30 Dec 2020 10:49:33 +0100" with title: "Fix unable to open URL (#2453)" and stats:	 1 file changed, 9 insertions(+), 8 deletions(-)	
"Felix Häusler" pushed new code on "Sun, 27 Dec 2020 13:26:19 +0100" with title: "Release v0.16.3 (#2448)" and stats:	 15 files changed, 265 insertions(+), 245 deletions(-)	
"カワリミ人形" pushed new code on "Thu, 24 Dec 2020 15:11:56 +0900" with title: "Fix installation instructions in README.md (#2449)" and stats:	 10 files changed, 10 insertions(+), 10 deletions(-)	
"Felix Häusler" pushed new code on "Wed, 23 Dec 2020 23:24:27 +0100" with title: "Add support for relative image directory (#2439)" and stats:	 8 files changed, 149 insertions(+), 27 deletions(-)	
"Felix Häusler" pushed new code on "Wed, 23 Dec 2020 23:23:20 +0100" with title: "Add TOC generator to document exporter (#2391)" and stats:	 13 files changed, 359 insertions(+), 9 deletions(-)	
"Felix Häusler" pushed new code on "Wed, 23 Dec 2020 14:20:50 +0100" with title: "Improve undo history (#2437)" and stats:	 2 files changed, 33 insertions(+), 7 deletions(-)	
"MingZZX" pushed new code on "Wed, 23 Dec 2020 16:27:18 +0800" with title: "Update Simplified Chinese translation of README (#2445)" and stats:	 1 file changed, 78 insertions(+), 40 deletions(-)	
"Felix Häusler" pushed new code on "Fri, 18 Dec 2020 23:25:23 +0100" with title: "Disble MathML due to DOMPurify security issues (#2436)" and stats:	 1 file changed, 5 insertions(+), 3 deletions(-)	
"Felix Häusler" pushed new code on "Fri, 18 Dec 2020 11:25:59 +0100" with title: "Upgrade to N-API and Electron 11 (#2422)" and stats:	 18 files changed, 1966 insertions(+), 4711 deletions(-)	
"Felix Häusler" pushed new code on "Thu, 17 Dec 2020 23:19:46 +0100" with title: "Fix symbolic links and related path issues (#2416)" and stats:	 12 files changed, 91 insertions(+), 42 deletions(-)	
"Felix Häusler" pushed new code on "Thu, 17 Dec 2020 23:19:22 +0100" with title: "Add option to disable HTML rendering (#2414)" and stats:	 11 files changed, 56 insertions(+), 10 deletions(-)	
"Felix Häusler" pushed new code on "Thu, 17 Dec 2020 23:18:55 +0100" with title: "Rebase markedjs bug fixes (#2419)" and stats:	 13 files changed, 1751 insertions(+), 2448 deletions(-)	
"YeloMelon" pushed new code on "Wed, 16 Dec 2020 16:17:20 +0900" with title: "Updated korean translation of README.md (#2432)" and stats:	 1 file changed, 150 insertions(+), 92 deletions(-)	
"Felix Häusler" pushed new code on "Mon, 7 Dec 2020 04:02:18 +0100" with title: "Fix font selection autocomplete (#2420)" and stats:	 1 file changed, 3 insertions(+), 1 deletion(-)	
"Felix Häusler" pushed new code on "Mon, 30 Nov 2020 22:16:32 +0100" with title: "Allow to copy table cells text as plaintext (#2409)" and stats:	 1 file changed, 16 insertions(+), 9 deletions(-)	
"Felix Häusler" pushed new code on "Mon, 30 Nov 2020 22:16:10 +0100" with title: "Replace text when only one table cell is selected (#2413)" and stats:	 1 file changed, 35 insertions(+), 3 deletions(-)	
"Felix Häusler" pushed new code on "Mon, 30 Nov 2020 22:15:49 +0100" with title: "Make global menu fields mutable (#2407)" and stats:	 6 files changed, 62 insertions(+), 56 deletions(-)	
"zmen" pushed new code on "Tue, 1 Dec 2020 05:10:22 +0800" with title: "feat: add shortcut for toggle-toc (#1863) (#2326)" and stats:	 5 files changed, 21 insertions(+), 4 deletions(-)	
"Felix Häusler" pushed new code on "Mon, 30 Nov 2020 09:19:52 +0100" with title: "Fix footnote inline code font size (#2411)" and stats:	 1 file changed, 6 insertions(+)	
"Felix Häusler" pushed new code on "Mon, 30 Nov 2020 09:17:02 +0100" with title: "Allow BCP-47 language codes in spell checker (#2410)" and stats:	 3 files changed, 7 insertions(+), 5 deletions(-)	
"Felix Häusler" pushed new code on "Mon, 30 Nov 2020 09:14:36 +0100" with title: "Restrict export dialog file extensions (#2408)" and stats:	 1 file changed, 19 insertions(+), 1 deletion(-)	
"Felix Häusler" pushed new code on "Mon, 30 Nov 2020 09:08:48 +0100" with title: "Support negative zoom (#2412)" and stats:	 2 files changed, 21 insertions(+), 9 deletions(-)	
"He Linming" pushed new code on "Sun, 29 Nov 2020 23:33:38 +0800" with title: "fix: typewriter shake after press enter (#1852)" and stats:	 1 file changed, 7 insertions(+), 4 deletions(-)	
